S/N,MTANDAO,GENDER,MARITAL_STATUS,DEPENDENTS,AGE,UNIVERSITY,DEGREE,EARNINGS,REGISTRATION,LOAN_BOARD,PAST_FREQUENCY,FUTURE_FREQUENCY,PROBLEM_SOLVING,EXCEPTIONAL_SERVICE_EXPERIENCE,VALUE_FOR_MONEY,PRICE_COMPARISON,WIDE_COVERAGE,CALL_DROPS,STRONG_SIGNALS,FREE_COMPLAINTS,SHARE_NEGATIVE_EXPERIENCE,HIGH_SWITCHING_COST,REDUCE_TRANSACTIONS,USUALLY_SWITCH_PROVIDERS,GET_THROUGH,DO_WHAT_THEY_SAY,TIMELY_EFFECTIVE_COMPLAINTS,HIGH_SWITCHING_ENERGY_TIME,FUTURE_TRANSACTIONS,LOYAL,FIRST_CHOICE
491,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,0,17,16,SD,A,A,F,SA,A,SA,F,A,SA,D,SA,A,SA,A,SA,F,SA,SA
492,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0,,,F,A,SD,F,A,SD,D,F,A,D,D,A,D,F,D,A,F,SA,SA
493,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.5,29,28,D,A,A,A,D,D,SD,F,A,A,A,A,D,A,F,D,D,F,F
494,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.8,41,45,D,A,F,A,SA,D,SD,F,F,F,A,A,F,F,A,SA,A,F,A
495,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.2,10,10,D,D,SD,F,F,A,A,F,A,SA,A,A,SA,A,A,A,SA,SA,SA
496,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.6,45,61,A,F,F,SA,A,SD,A,SD,A,A,A,D,A,SD,F,SA,F,A,SA
497,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,40,48,SD,SD,D,D,F,F,SD,SD,A,SD,A,SD,A,A,SD,SA,SD,SA,SA
498,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0,28,25,D,D,A,A,A,D,F,D,A,A,A,A,A,A,A,A,D,F,F
499,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0,23,18,D,F,A,A,A,A,A,A,A,A,A,A,A,A,A,SA,SA,SA,SA
500,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.6,36,54,D,SD,A,SA,SA,D,F,A,SA,A,SA,SA,SA,SA,A,A,SD,A,A
501,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2021,0.75,24,21,D,F,A,A,F,SD,A,A,A,F,F,D,D,A,A,F,SA,SA,A
502,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,32,60,A,SD,SD,F,A,A,F,A,A,SD,A,A,A,F,A,SA,A,A,A
503,TIGO,FEMALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2020,0.3,33,12,D,D,SD,F,A,SD,D,A,A,SA,F,A,SA,A,F,D,A,F,F
504,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,11,13,D,D,SD,A,A,A,F,F,A,A,A,F,A,F,F,SA,A,SA,SA
505,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,35,9,SD,F,A,A,SA,F,A,F,A,A,SA,F,A,A,SA,A,SD,SD,D
506,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,0.9,24,12,SD,F,A,A,SA,F,A,SD,SA,D,F,F,A,D,F,SA,SD,SD,D
507,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,23,24,A,SA,SD,D,D,SA,F,D,SA,F,A,A,F,A,SD,SA,SA,SA,SA
508,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,1,15,12,A,F,SD,D,D,SD,SD,F,A,A,A,A,D,A,SD,SA,F,SA,A
509,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0,14,36,A,A,A,D,A,A,A,A,A,A,D,D,D,A,A,SA,A,A,A
510,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2015,0.62,74,50,SD,A,SD,D,A,F,F,D,A,F,A,A,D,F,D,D,D,D,D
511,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.2,11,11,SD,F,F,SA,A,SD,SD,F,SD,F,D,SD,F,D,A,SA,A,A,A
512,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2020,0,24,27,SD,A,F,SA,A,SD,A,D,F,A,F,A,D,A,A,D,A,A,F
513,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,12,12,SA,F,SD,F,SA,F,SD,F,SA,F,SD,SD,SA,SA,SA,SA,SA,SA,SA
514,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,12,12,A,A,SD,A,SA,F,A,A,F,SD,D,F,F,A,F,SA,F,A,A
515,TIGO,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2019,0.75,8,7,F,D,D,D,A,D,D,D,D,F,D,F,F,F,F,A,A,A,A
516,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,0.8,15,9,SA,SA,D,F,F,SD,F,F,A,F,SA,F,SA,A,F,SA,F,F,F
517,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2015,0.7,3,12,SD,D,SA,SD,D,SD,A,D,SA,SD,F,SA,D,A,D,SA,SD,A,SD
518,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2017,1,9,19,SD,SD,SA,D,SD,A,SD,D,SD,D,A,SD,D,A,SD,D,SD,D,F
519,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,1,7,10,SA,SA,F,D,A,SD,A,A,A,D,D,D,A,A,F,A,SA,SA,SA
520,AIRTEL,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2018,0.8,17,17,A,D,D,D,F,D,D,A,A,D,D,D,D,A,A,A,A,A,A
521,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2018,0.52,11,12,SA,A,SA,SD,SA,SD,D,SA,SA,A,A,F,SA,SA,SA,SA,A,SA,SA
522,VODA,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.98,12,12,SA,SA,SA,SA,SA,D,A,D,A,D,D,A,A,A,D,D,D,D,D
523,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0,90,45,SD,D,SD,SA,SD,SD,SA,SD,SA,SA,F,SA,SD,SD,SD,A,SA,A,SD
524,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,16,12,SD,D,SD,SA,SD,SD,SD,D,SA,SA,F,SA,SD,D,D,A,SA,A,SD
525,HALOTEL,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,18,7,SA,SA,SD,SA,F,A,SD,SD,SA,F,SD,A,SA,SA,SD,SA,SA,SA,SA
526,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,0,6,19,SD,SA,SA,SA,SD,SD,SD,SA,SA,SD,SA,SA,SD,SA,SA,SA,SA,SA,SA
527,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,6,18,SA,A,A,SA,SA,D,D,D,D,A,A,A,A,A,A,A,A,A,SA
528,VODA,MALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2009,0.75,40,52,SD,SD,A,SA,F,SD,A,SA,SD,A,A,SA,SD,D,SA,SA,SA,A,SA
529,TIGO,FEMALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,12,12,SD,A,A,A,A,SD,D,D,A,F,A,A,A,A,A,A,D,F,D
530,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2009,1,13,25,SA,SA,A,SA,A,F,A,SA,SA,A,A,A,SA,SA,F,SA,SA,SA,SA
531,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2019,1,17,8,D,D,F,A,D,SD,SD,D,A,F,A,D,D,D,D,SA,D,A,D
532,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2013,0,12,14,A,A,A,SA,SA,A,A,SD,SA,F,F,SA,D,D,SD,SA,F,SA,F
533,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,19,10,D,D,SD,SA,SA,D,SD,SD,A,D,SA,SD,D,A,D,SA,SD,A,A
534,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2009,0.4,13,12,F,SD,A,F,SA,SD,SA,SA,SA,F,F,F,F,SA,SA,SA,A,A,SA
535,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.66,16,12,D,D,SD,SD,SD,SD,A,A,SA,A,A,D,F,A,D,F,A,D,F
536,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.6,14,13,A,SD,F,A,A,SD,A,SA,F,F,A,SD,F,A,A,SA,F,F,A
537,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,0,15,12,SD,A,A,A,A,SD,A,A,A,D,D,A,SD,A,SD,A,A,A,A
538,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,8,11,SA,SA,F,F,A,F,SA,F,SA,F,D,D,F,D,SD,F,F,SA,F
539,TIGO,FEMALE,SINGLE,3 TO 4,18-35,SUA,DIPLOMA,BELOW 450000,2016,0,13,19,D,SD,SD,D,A,A,D,SD,SA,F,SA,F,D,D,SD,A,F,F,D
540,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2017,0,14,8,SA,D,SA,D,F,A,D,A,D,A,SA,SD,SD,F,F,SA,F,A,A
541,VODA,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.85,24,16,SA,A,A,D,A,SD,SA,A,A,A,A,A,SD,SA,SA,F,SA,SA,A
542,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2016,0,80,60,SA,D,SD,SA,A,A,D,F,SA,A,SA,SA,A,F,F,A,A,SA,A
543,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2018,0,58,56,SA,D,SD,D,D,D,F,F,D,A,D,D,A,A,A,A,A,A,A
544,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2023,0,23,23,F,A,SA,SD,SA,SD,D,SD,SA,SD,D,SA,SD,SD,SD,SA,A,D,A
545,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2020,0,12,9,A,SA,SD,A,SD,D,D,F,A,SD,F,SA,F,F,F,A,D,F,F
546,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2015,0,9,6,A,A,SD,SA,SD,F,SD,D,A,D,A,D,SD,F,D,A,D,F,F
547,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2019,0,14,18,A,D,SD,A,D,D,D,SD,SA,SD,SD,SA,SD,SD,SD,A,A,SA,SA
548,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2019,0,10,8,D,D,F,A,D,D,SD,SD,A,A,SA,A,D,D,D,SD,F,SD,SA
549,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2022,0,16,19,D,D,SD,F,A,D,SD,SD,A,D,SA,A,F,SD,F,F,F,SA,SA
550,TIGO,MALE,MARRIED,3 TO 4,36-50,SUA,DIPLOMA,BELOW 450000,2020,0,18,15,D,D,A,A,A,A,A,A,A,A,A,SA,A,D,D,SA,F,SD,F
551,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2020,0,20,16,F,D,SD,F,A,A,SD,SD,F,F,SA,A,SD,A,F,A,F,F,F
552,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2019,0,22,13,F,F,SD,A,D,D,D,SD,F,D,SA,SA,SD,F,D,SA,F,SD,F
553,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2021,0,9,7,A,A,D,A,D,D,D,D,SA,D,F,A,D,A,D,A,A,D,A
554,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2019,0,24,22,SD,SD,SD,SD,SA,D,F,F,A,F,SA,SA,A,F,A,SA,F,A,F
555,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2021,0,16,21,A,A,SD,SA,F,A,A,A,A,SA,A,A,D,F,A,A,F,D,F
556,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2019,0,10,9,F,A,SD,F,D,F,D,A,A,A,F,A,D,A,F,F,F,A,F
557,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2020,0,3,3,D,F,D,F,D,D,A,A,SA,A,F,D,A,A,A,D,A,A,A
558,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2019,0,24,12,F,A,SD,D,D,SD,D,F,A,D,A,A,A,A,A,A,A,A,A
559,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2020,0,24,6,F,D,D,F,F,A,A,A,A,A,A,A,D,A,A,D,F,D,F
560,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2021,0,19,28,SD,A,SD,D,SD,D,F,A,SA,SA,A,SA,SD,SA,F,D,SD,SA,SD
561,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2018,0,14,17,F,F,D,A,A,F,A,A,F,D,SD,A,D,F,SD,SA,A,A,A
562,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2021,0,13,14,D,D,D,SA,F,D,D,F,SA,SA,SD,A,SD,SA,F,F,F,D,F
563,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,DIPLOMA,BELOW 450000,2020,0,14,14,D,F,SD,A,SA,A,F,F,A,D,F,D,D,F,F,SA,A,F,SA
564,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,18,21,A,A,D,SA,D,A,SD,A,A,A,A,A,F,A,A,A,F,A,D
565,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2023,0,10,11,F,SD,D,A,A,D,D,D,A,SD,A,SD,F,D,A,SA,SA,D,A
566,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,16,13,SD,SA,A,SA,SA,A,D,A,D,SD,F,A,D,F,F,D,SD,F,A
567,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.59,14,14,SD,D,SD,F,SA,SD,A,SA,SD,A,A,SA,SA,SA,SA,SA,A,SA,D
568,TIGO,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2021,0.3,12,5,F,F,SA,SA,SA,A,F,F,SA,F,SD,F,F,F,F,F,F,F,F
569,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,20,31,A,A,A,F,A,SD,F,D,D,SD,F,F,F,A,A,A,A,F,F
570,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.61,12,12,SD,SD,A,SD,A,D,D,F,A,F,A,F,F,F,F,SA,A,A,A
571,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2014,1,10,11,A,F,F,F,A,SD,SD,D,A,F,F,D,F,A,A,A,A,D,SA
572,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,6,18,SD,SD,A,SA,SA,D,A,A,SD,A,A,SD,D,SA,SD,SA,SA,D,SD
573,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,8,6,D,F,F,D,A,D,F,F,F,D,A,D,F,F,D,SA,SA,D,SD
574,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,61,61,A,D,A,D,A,D,A,A,A,A,D,A,A,A,A,A,D,A,A
575,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,12,12,D,SA,A,D,A,D,A,A,SA,D,A,A,A,A,A,A,A,F,D
576,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,15,9,D,A,A,D,A,SA,SA,D,A,A,D,A,A,SA,SA,SA,F,SA,SA
577,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.9,12,11,SD,D,F,A,A,A,A,A,D,A,D,D,A,A,F,A,A,A,A
578,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,14,21,D,SD,F,F,F,D,F,A,A,A,F,SA,A,A,F,SA,A,F,SA
579,HALOTEL,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,11,13,SD,A,F,F,SA,F,SD,D,SD,SD,A,SA,SD,SA,SA,SA,F,SA,F
580,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,85,91,F,F,SA,D,A,A,F,D,SA,D,F,F,A,F,F,F,F,A,A
581,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,10,13,D,SD,F,D,A,D,A,D,A,F,A,D,D,F,F,SA,F,A,SA
582,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,60,63,F,SA,D,D,A,SD,F,D,SD,D,D,D,F,SA,SA,SA,A,A,F
583,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.6,12,12,D,SA,A,SD,A,SD,SA,D,D,A,D,A,D,F,D,A,D,F,D
584,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,,18,21,A,A,A,F,A,SA,SD,SD,A,F,F,A,D,F,F,SA,F,A,A
585,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,25,15,SD,D,F,A,F,D,D,A,A,A,F,A,D,D,D,F,A,A,F
586,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,11,11,D,SD,A,SA,SA,SD,SA,SA,F,SD,A,SD,A,,SA,D,SA,SA,SA
587,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2019,0,58,12,A,D,A,SA,SD,SA,A,SD,A,D,A,A,SD,A,F,SA,A,A,A
588,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,0,19,17,SD,D,A,SD,F,A,SD,SA,F,A,SD,A,F,SA,SA,A,SA,SA,A
589,TIGO,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2016,0,12,8,D,A,A,SA,SA,D,F,F,D,A,SA,F,A,A,SA,F,F,A,A
590,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,27,29,SD,A,D,A,A,SA,,A,SA,A,D,D,A,SA,SA,SA,A,A,SA
591,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.5,12,15,F,D,D,SA,SD,SD,F,A,A,F,SD,A,A,A,F,SA,A,A,F
592,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2010,0,12,12,SD,SD,SD,F,A,SD,F,F,A,F,F,SA,SA,F,F,SA,SA,SD,F
593,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,0,12,3,SD,D,SD,F,SD,D,F,D,D,A,F,SD,D,F,F,D,SA,D,SA
594,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,0.5,17,20,SD,F,SD,A,F,F,SD,F,A,SA,D,SA,A,F,F,SA,F,A,A
595,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,0,64,6,SA,SA,SA,SD,F,D,F,F,SD,F,SD,SD,SA,SA,A,F,SA,A,SA
596,HALOTEL,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2015,0.9,16,17,D,A,A,SD,A,SA,D,A,SD,A,F,A,SD,SA,D,,A,SA,SD
597,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2013,1,18,12,F,A,SA,A,F,F,SA,F,SA,A,SA,F,A,F,A,F,SA,F,SA
598,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.9,12,11,SD,SD,SD,A,F,A,D,D,A,A,A,SA,F,F,SA,SA,F,A,SA
599,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,13,12,SD,SD,A,F,SA,SD,SA,SA,D,F,F,A,F,SA,SA,SA,F,A,SA
600,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,8,6,A,F,D,F,A,D,F,F,F,A,F,F,D,A,A,A,A,SA,A
601,HALOTEL,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,16,16,SD,D,A,A,SA,SD,F,,SD,F,F,F,A,F,SD,SA,SD,D,SA
602,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,16,15,SD,SD,D,A,D,F,F,A,SA,A,D,D,A,A,A,SA,F,A,F
603,VODA,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,0,9,7,SD,D,SD,F,SA,D,D,F,SA,D,A,D,F,SD,F,SA,SA,F,A
604,HALOTEL,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2021,0.61,3,0,SD,SA,SD,SA,SA,SA,SD,SD,SA,F,SA,SA,SD,SD,SD,SA,SD,SD,SD
605,HALOTEL,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2022,1,12,12,A,A,A,SD,A,SA,A,A,SA,SD,D,D,SA,SA,A,SA,SA,SA,SA
606,HALOTEL,MALE,MARRIED,MORE THAN 4,18-35,SUA,BACHELOR,ABOVE 1000000,2017,0,29,31,D,F,A,SA,SD,D,F,A,SA,A,F,D,SD,D,F,A,SA,A,F
607,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,1,12,12,D,A,D,A,SA,A,D,SD,D,A,SA,F,D,SD,D,A,SA,D,SA
608,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,0.84,15,15,SD,SD,SA,SA,D,F,SD,D,F,A,SA,F,SA,D,SD,SA,SA,SA,SA
609,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,17,17,SA,SA,A,F,SA,F,SA,F,A,F,SA,A,F,A,F,SA,A,F,A
610,HALOTEL,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,6,6,F,F,SD,F,A,SD,F,SD,SA,SD,F,SD,F,SD,F,D,SD,D,A
611,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0,6,9,SD,D,SD,A,SA,SD,SA,SA,SD,F,F,SD,SA,SA,SA,SA,A,SA,SA
612,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,14,11,D,SD,A,A,A,D,A,A,A,A,A,D,A,A,A,A,A,A,A
613,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.6,13,12,D,A,A,F,A,D,A,F,F,F,F,D,F,F,F,F,F,F,F
614,AIRTEL,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,0.5,42,42,D,D,F,SA,A,A,F,F,A,SD,A,F,F,A,F,A,F,A,F
615,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2014,0,16,10,SD,A,D,F,F,F,D,D,F,F,A,F,A,A,A,F,F,D,F
616,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2019,0.6,25,25,SD,SD,A,A,F,D,SD,SD,D,F,F,A,F,A,F,F,F,F,F
617,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0.9,16,16,SD,F,SD,F,SD,SD,SD,F,A,SA,SA,SA,F,F,D,SA,F,A,F
618,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,,2019,0,12,11,SD,D,A,D,F,SD,D,A,A,A,D,D,A,SA,A,SA,A,SA,SA
619,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,12,12,SD,A,D,A,D,D,D,A,D,D,A,A,A,A,F,A,D,A,A
620,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,1,34,31,A,A,F,F,A,SD,A,F,F,F,D,D,F,A,A,F,F,SA,A
621,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2014,1,28,19,D,A,SD,A,A,D,D,SD,A,A,SD,D,A,D,F,A,SD,SA,F
622,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.5,6,7,A,SA,F,A,F,D,SD,F,A,D,F,SA,A,A,A,SD,A,D,A
